id,older,newer
67050,1923,
67051,1924,
67052,1908,
67053,1925,
67054,1881,
67055,1912,
67056,1923,
67057,1925,
67058,1882,
67059,1920,
67060,1918,
67061,1900,
67062,1925,
67065,1906,
67066,1926,
67067,1926,
67068,1926,
67069,1884,
67070,1926,
67071,1926,
67072,1926,
67073,1918,
67074,1908,
67075,1895,
67076,1921,
67077,1926,
67078,1919,
67079,1924,
67080,1864,
67081,1925,
67082,1914,1915
67083,1850,
67084,1916,
67085,1897,
67086,1813,
67087,1919,
67088,1912,
67089,1903,
67090,1922,1924
67091,1925,
67092,1873,
67093,1923,
67094,1926,
67095,1911,
67096,1912,
67097,1908,
67098,1926,1931
67099,1917,
67100,1924,
67101,1879,
67102,1921,
67103,1914,
67104,1925,
67105,1916,
67106,1902,
67107,1827,
67108,1851,
67109,1919,
67110,1916,
67111,1926,
67112,1925,
67113,1900,
67114,1920,
67115,1903,
67116,1921,
67117,1908,
67118,1919,
67119,1903,
67120,1902,
67121,1917,1950
67122,1892,
67123,1926,
67124,1922,
67125,1903,
67126,1909,
67127,1871,
67128,1950,
67129,1914,
67130,1902,
67131,1924,
67132,1837,
67133,1921,
67134,1900,
67135,1832,
67136,1845,
67137,1924,
67138,1926,
67139,1920,
67140,1921,
67141,1911,
67142,1919,
67143,1891,
67144,1908,
67145,1909,
67146,1926,
67147,1924,
67148,1895,
67149,1924,
67150,1905,
67152,1886,1916
67153,1906,
67154,1912,
67155,1886,
67156,1906,
67157,1902,
67158,1908,
67159,1906,
67160,1924,
67161,1924,
67162,1876,
67163,1911,
67164,1884,
67165,1905,
67166,1902,
67167,1889,
67168,1923,
67169,1876,1884
67170,1926,1961
67171,1890,
67172,1908,1918
67173,1925,
67174,1909,
67175,1923,
67176,1923,
67177,1907,
67178,1921,
67179,1894,
67180,1911,1922
67181,1926,
67182,1851,
67183,1849,
67184,1889,
67185,1914,
67186,1924,
67187,1925,
67188,1923,
67189,1907,
67190,1906,
67191,1918,
67192,1918,
67193,1918,
67194,1827,
67195,1923,
67196,1891,
67197,1905,
67198,1950,
67199,1961,
67200,1924,
67201,1922,
67202,1907,
67203,1899,
67204,1908,
67205,1924,1926
67206,1859,
67207,1920,
67208,1920,
67210,1912,
67211,1854,
67212,1854,
67213,1854,
67214,1921,
67215,1908,
67216,1913,
67217,1916,
67218,1916,
67219,1900,
67220,1922,
67221,1925,
67223,1958,
67224,1926,
67225,1913,
67226,1865,
67227,1865,
67228,1865,
67229,1920,
67230,1920,
67231,1858,
67232,1898,
67233,1911,
67234,1915,1920
67235,1978,
67236,1910,1923
67237,1879,
67238,1925,
67239,1956,
67240,1921,
67241,1917,
67242,1926,
67243,1905,
67244,1910,1923
67245,1905,1909
67246,1890,
67247,1865,
67248,1900,
67249,1908,
67250,1912,
67251,1916,
67252,1848,
67253,1908,
67254,1923,
67255,1917,
67256,1919,
67257,1880,
67258,1893,1919
67259,1920,
67260,1917,1918
67261,1862,
67262,1914,
67263,1917,
67264,1868,
67265,1901,
67266,1926,
67267,1888,
67268,1913,
67269,1924,
67270,1915,
67271,1831,
67272,1878,
67273,1920,
67274,1924,
67275,1908,
67276,1866,
67277,1895,
67278,1896,
67279,1919,
67280,1897,
67281,1895,
67282,1899,
67283,1924,
67284,1864,
67285,1923,
67286,1926,
67287,1897,
67288,1920,
67289,1915,
67290,1909,
67291,1912,
67292,1926,
67293,1946,
67294,1925,
67295,1876,
67296,1876,
67297,1876,
67298,1963,
67299,1926,
67300,1923,
67301,1898,
67302,1908,
67303,1908,
67304,1921,
67305,1922,
67306,1919,
67307,1894,
67308,1912,
67309,1887,
67310,1918,
67311,1924,
67312,1915,
67313,1899,
